,Sale Date,Sale Price,Location,Year Built,Garden,Garage,Type,Stories,Bedrooms,Bathrooms,First Time Buyer
0,Sold 05 January 2024,"€578,025.00",Porter Square,2012,Yes,Yes,,,,,No
1,Sold 05 January 2024,"€635,169.00",Porter Square,Unknown,Yes,Yes,,,,,NO
2,Sold 05 January 2024,"€401,675.00",Oak Park,1972,Yes,No,,,,,No
3,Sold 05 January 2024,"€351,616.00",Oak Park,1973,Yes,Yes,,,,,Yes
4,Sold 05 January 2024,"€ 322,966",Broomhouse,Unknown,Yes,Yes,,,,,No
5,Sold 05 January 2024,"€361,166.00",Broomhouse,1974,Yes,Yes,,,,,No
6,Sold 05 January 2024,"€403,791.00",Broomhouse,1969,Yes,No,,,,,No
7,Sold 05 January 2024,"€435,907.00",Broomhouse,1967,Yes,Yes,,,,,Yes
8,Sold 05 January 2024,"€375,592.00",Avoca,1967,Yes,No,,,,,No
9,Sold 05 January 2024,"€ 705,578",Brookville,2017,Yes,Yes,,,,,No
10,Sold 05 January 2024,"€265,895.00",Brookville,1990,Yes,Yes,,,,,NO
11,Sold 05 January 2024,"€545,578.00",Brookville,2013,Yes,Yes,,,,,No
12,Sold 05 January 2024,"€709,606.00",Brookville,2005,Yes,Yes,,,,,No
13,Sold 05 January 2024,"€638,626.00",Brookville,2015,Yes,Yes,,,,,No
14,Sold 05 January 2024,"€452,748.00",Avoca,2012,Yes,???,,,,,No
15,Sold 05 January 2024,"€746,976.00",Avoca,2008,No,No,,,,,NO
16,Sold 05 January 2024,"€408,714.00",Oak Park,1974,Yes,Yes,,,,,Yes
17,Sold 05 January 2024,"€ 331,160",Oak Park,1971,Yes,No,,,,,No
18,Sold 05 January 2024,"€635,957.00",Brookville,2018,Yes,Yes,,,,,No
19,Sold 05 January 2024,"€329,309.00",Brookville,1988,Yes,Yes,,,,,No
20,Sold 2024-02-02,"€503,531.00",Brookville,2007,Yes,Yes,,,,,Yes
21,Sold 2024-02-02,"€376,904.00",Brookville,2012,Yes,No,,,,,No
22,Sold 2024-02-02,"€328,710.00",Oak Park,1966,Yes,No,,,,,NO
23,Sold 2024-02-02,"€423,773.00",Brookville,2020,Yes,Yes,,,,,No
24,Sold 2024-02-02,"€662,783.00",Brookville,2020,Yes,Yes,,,,,NO
25,Sold 2024-02-02,"€454,983.00",Avoca,2012,Yes,Yes,,,,,No
26,Sold 2024-02-02,"€297,155.00",Beacon Hill,1970,Yes,No,,,,,No
27,Sold 2024-02-02,"€548,775.00",Brookville,2018,Yes,Yes,,,,,No
28,Sold 2024-02-02,"€ 285,085",Broomhouse,1970,???,No,,,,,NO
29,Sold 2024-02-02,"€510,413.00",Brookville,2014,Yes,No,,,,,Yes
30,Sold 2024-02-02,"€328,215.00",Broomhouse,1962,Yes,Yes,,,,,No
31,Sold 2024-02-02,"€618,484.00",Brookville,2014,Yes,???,,,,,No
32,Sold 2024-02-02,"€343,616.00",Brookville,1982,Yes,Yes,,,,,No
33,Sold 2024-02-02,"€417,612.00",Oak Park,1974,Yes,Yes,,,,,Yes
34,Sold 2024-02-02,"€849,277.00",Avoca,2020,Yes,Yes,,,,,No
35,Sold 2024-02-02,"€617,675.00",Avoca,2011,Yes,Yes,,,,,No
36,Sold 2024-02-02,"€882,491.00",Avoca,2017,Yes,No,,,,,NO
37,Sold 2024-02-02,"€311,634.00",Broomhouse,1979,Yes,???,,,,,Yes
38,Sold 2024-02-02,"€356,286.00",Broomhouse,1981,Yes,No,,,,,No
39,Sold 2024-02-02,"€ 386,732",Oak Park,1982,Yes,Yes,,,,,No
40,Sold 2024-03-02,"€367,971.00",Broomhouse,1973,Yes,No,,,,,No
41,Sold 2024-03-02,"€412,289.00",Broomhouse,1981,Yes,Yes,,,,,No
42,Sold 2024-03-02,"€412,875.00",Avoca,Unknown,Yes,No,,,,,No
43,Sold 2024-03-02,"€335,319.00",Broomhouse,1988,Yes,No,,,,,Yes
44,Sold 2024-03-02,"€370,245.00",Oak Park,1971,Yes,Yes,,,,,No
45,Sold 2024-03-02,"€571,439.00",Avoca,2016,Yes,No,,,,,No
46,Sold 2024-03-02,"€125,406.00",Rivermount,1953,No,No,,,,,No
47,Sold 2024-03-02,"€264,337.00",Rivermount,1972,???,No,,,,,No
48,Sold 2024-03-02,"€361,983.00",Summerston,2015,Yes,Yes,,,,,Yes
49,Sold 2024-03-02,"€316,139.00",Oak Park,1966,Yes,Yes,,,,,Yes
50,Sold 2024-03-02,"€ 298,251",Summerston,1959,Yes,No,,,,,Yes
51,Sold 2024-03-02,"€361,677.00",Oak Park,1970,Yes,???,,,,,No
52,Sold 2024-03-02,"€264,828.00",Summerston,1936,Yes,No,,,,,Yes
53,Sold 2024-03-02,"€ 398,048",Oak Park,1967,Yes,Yes,,,,,No
54,Sold 2024-03-02,"€271,709.00",Summerston,1928,No,No,,,,,Yes
55,Sold 2024-03-02,"€813,307.00",Porter Square,2008,Yes,Yes,,,,,No
56,Sold 2024-03-02,"€485,523.00",Porter Square,Unknown,Yes,Yes,,,,,NO
57,Sold 2024-03-02,"€300,111.00",Rivermount,1934,Yes,Yes,,,,,Yes
58,Sold 2024-03-02,"€457,768.00",Avoca,2013,Yes,???,,,,,NO
59,Sold 2024-03-02,"€292,276.00",Rivermount,1939,Yes,???,,,,,No
60,Sold 2024-03-14,"€426,671.00",Avoca,2001,Yes,Yes,,,,,Yes
61,Sold 2024-03-14,"€900,416.00",Avoca,2016,Yes,Yes,,,,,Yes
62,Sold 2024-03-14,"€476,098.00",Avoca,2006,Yes,Yes,,,,,NO
63,Sold 2024-03-14,"€317,499.00",Broomhouse,1976,Yes,No,,,,,NO
64,Sold 2024-03-14,"€388,236.00",Broomhouse,1990,Yes,Yes,,,,,Yes
65,Sold 2024-03-14,"€751,083.00",Avoca,2017,Yes,No,,,,,Yes
66,Sold 2024-03-14,"€443,546.00",Avoca,2007,Yes,Yes,,,,,No
67,Sold 2024-03-14,"€491,617.00",Summerston,2021,Yes,Yes,,,,,No
68,Sold 2024-03-14,"€349,315.00",Summerston,2020,Yes,Yes,,,,,Yes
69,Sold 2024-03-14,"€422,778.00",Brookville,1989,Yes,Yes,,,,,No
70,Sold 2024-03-14,"€423,506.00",Oak Park,Unknown,Yes,Yes,,,,,Yes
71,Sold 2024-03-14,"€418,026.00",Oak Park,1976,Yes,No,,,,,No
72,Sold 2024-03-14,"€ 452,036",Avoca,2017,Yes,Yes,,,,,No
73,Sold 2024-03-14,"€311,677.00",Oak Park,1984,Yes,No,,,,,No
74,Sold 2024-03-14,"€333,777.00",Oak Park,1974,Yes,No,,,,,No
75,Sold 2024-03-14,"€539,561.00",Avoca,2013,???,No,,,,,NO
76,Sold 2024-03-14,"€339,320.00",Oak Park,1966,Yes,Yes,,,,,No
77,Sold 2024-03-14,"€450,801.00",Avoca,2015,Yes,No,,,,,No
78,Sold 2024-03-14,"€ 623,525",Porter Square,2017,Yes,Yes,,,,,No
79,Sold 2024-03-14,"€982,878.00",Porter Square,2011,Yes,Yes,,,,,No
80,Sold 2024-04-03,"€384,006.00",Oak Park,1971,Yes,Yes,,,,,YES
81,Sold 2024-04-03,"€415,095.00",Oak Park,1972,Yes,Yes,,,,,No
82,Sold 2024-04-03,"€376,724.00",Oak Park,1972,Yes,No,,,,,No
83,Sold 2024-04-03,"€391,929.00",Oak Park,1962,Yes,Yes,,,,,No
84,Sold 2024-04-03,"€328,179.00",Oak Park,1962,Yes,No,,,,,No
85,Sold 2024-04-03,"€289,399.00",Oak Park,1980,Yes,Yes,,,,,No
86,Sold 2024-04-03,"€280,032.00",Rivermount,1897,Yes,No,,,,,Yes
87,Sold 2024-04-03,"€353,161.00",Rivermount,1922,Yes,???,,,,,NO
88,Sold 2024-04-03,"€400,742.00",Rivermount,1897,Yes,No,,,,,No
89,Sold 2024-04-03,"€256,881.00",Summerston,1963,Yes,Yes,,,,,Yes
90,Sold 2024-04-03,"€523,251.00",Porter Square,2017,Yes,No,,,,,No
91,Sold 2024-04-03,"€438,817.00",Oak Park,1972,Yes,No,,,,,No
92,Sold 2024-04-03,"€389,103.00",Oak Park,1983,Yes,Yes,,,,,No
93,Sold 2024-04-03,"€325,748.00",Broomhouse,1974,Yes,No,,,,,Yes
94,Sold 2024-04-03,"€333,931.00",Summerston,2016,No,Yes,,,,,No
95,Sold 2024-04-03,"€286,709.00",Rivermount,1928,Yes,No,,,,,No
96,Sold 2024-04-03,"€275,617.00",Rivermount,1935,Yes,No,,,,,NO
97,Sold 2024-04-03,"€ 372,740",Summerston,2011,Yes,Yes,,,,,Yes
98,Sold 2024-04-03,"€347,565.00",Rivermount,1969,Yes,Yes,,,,,No
99,Sold 2024-04-03,"€295,746.00",Broomhouse,1972,Yes,Yes,,,,,No
100,Sold 2024-04-10,"€343,383.00",Broomhouse,1966,Yes,Yes,,,,,No
101,Sold 2024-04-10,"€357,366.00",Broomhouse,1977,Yes,No,,,,,No
102,Sold 2024-04-10,"€333,977.00",Summerston,2016,No,Yes,,,,,Yes
103,Sold 2024-04-10,"€463,013.00",Porter Square,Unknown,Yes,Yes,,,,,Yes
104,Sold 2024-04-10,"€352,008.00",Broomhouse,1980,Yes,No,,,,,No
105,Sold 2024-04-10,"€333,988.00",Rivermount,1941,Yes,Yes,,,,,No
106,Sold 2024-04-10,"€712,940.00",Porter Square,2020,Yes,Yes,,,,,Yes
107,Sold 2024-04-10,"€658,673.00",Oak Park,1980,Yes,No,,,,,No
108,Sold 2024-04-10,"€453,120.00",Summerston,2020,Yes,Yes,,,,,No
109,Sold 2024-04-10,"€232,951.00",Summerston,1966,Yes,No,,,,,Yes
110,Sold 2024-04-10,"€ 641,443",Porter Square,2020,Yes,Yes,,,,,No
111,Sold 2024-04-10,"€ 432,204",Porter Square,2012,Yes,Yes,,,,,No
112,Sold 2024-04-10,"€475,717.00",Oak Park,1976,???,Yes,,,,,No
113,Sold 2024-04-10,"€376,728.00",Oak Park,1981,Yes,Yes,,,,,No
114,Sold 2024-04-10,"€338,615.00",Broomhouse,1977,No,No,,,,,Yes
115,Sold 2024-04-10,"€ 445,833",Rivermount,1948,Yes,Yes,,,,,Yes
116,Sold 2024-04-10,"€271,777.00",Oak Park,1967,No,Yes,,,,,No
117,Sold 2024-04-10,"€342,651.00",Oak Park,1975,Yes,Yes,,,,,Yes
118,Sold 2024-04-10,"€470,383.00",Beacon Hill,1929,Yes,Yes,,,,,No
119,Sold 2024-04-10,"€292,333.00",Beacon Hill,1948,Yes,Yes,,,,,Yes
120,Sold 2024-04-24,"€293,115.00",Oak Park,1983,Yes,No,,,,,No
121,Sold 2024-04-24,"€383,378.00",Summerston,1987,Yes,No,,,,,No
122,Sold 2024-04-24,"€286,891.00",Summerston,1957,Yes,No,,,,,Yes
123,Sold 2024-04-24,"€474,628.00",Avoca,2012,Yes,Yes,,,,,No
124,Sold 2024-04-24,"€340,767.00",Summerston,1990,Yes,???,,,,,No
125,Sold 2024-04-24,"€296,297.00",Rivermount,1966,Yes,Yes,,,,,Yes
126,Sold 2024-04-24,"€195,263.00",Rivermount,1912,Yes,No,,,,,Yes
127,Sold 2024-04-24,"€ 284,352",Broomhouse,1990,Yes,No,,,,,Yes
128,Sold 2024-04-24,"€301,061.00",Summerston,1965,Yes,No,,,,,Yes
129,Sold 2024-04-24,"€354,883.00",Summerston,2016,Yes,Yes,,,,,Yes
130,Sold 2024-04-24,"€364,641.00",Summerston,1960,Yes,No,,,,,Yes
131,Sold 2024-04-24,"€361,600.00",Rivermount,1933,Yes,Yes,,,,,No
132,Sold 2024-04-24,"€292,829.00",Summerston,1967,Yes,Yes,,,,,No
133,Sold 2024-04-24,"€346,943.00",Rivermount,1969,Yes,No,,,,,No
134,Sold 2024-04-24,"€328,083.00",Oak Park,1962,Yes,Yes,,,,,Yes
135,Sold 2024-04-24,"€433,151.00",Oak Park,1971,Yes,Yes,,,,,No
136,Sold 2024-04-24,"€345,290.00",Oak Park,1974,Yes,No,,,,,Yes
