,Sale Date,Sale Price,Location,Year Built,Garden,Garage,Type,Style,Bedrooms,Bathrooms,First Time Buyer
0,Sold 2023-01-01,"€145,057.00",Beacon Hill,1948,No,No, Bungalow, 1-Storey,1,1,Yes
1,Sold 2023-01-01,"€208,283.00",Summerston,1969,Yes,Yes, Bungalow, 1-Storey,3,1,No
2,Sold 2023-01-01,"€ 304,038",Beacon Hill,1938,Yes,No, Detached, 1-Storey,2,1,No
3,Sold 2023-01-01,"€337,216.00",Summerston,1961,Yes,Yes, Detached, 1-Storey,3,1,No
4,Sold 2023-01-01,"€ 526,551",Avoca,2020,Yes,No, Semi-Detached, 1-Storey,2,2,No
5,Sold 2023-01-01,"€749,274.00",Avoca,2016,Yes,Yes, Detached, 1-Storey,3,2,No
6,Sold 2023-01-01,"€806,933.00",Avoca,2012,Yes,No, Detached, 1-Storey,3,2,No
7,Sold 2023-01-01,"€550,269.00",Brookville,2020,Yes,Yes, Detached, 1-Storey,3,2,Yes
8,Sold 2023-01-01,"€606,337.00",Brookville,2013,Yes,Yes, Detached, 2-Storey,3,3,Yes
9,Sold 2023-01-01,"€810,407.00",Brookville,2020,Yes,Yes, Detached, 1-Storey,3,2,No
10,Sold 2023-01-01,"€356,899.00",Summerston,1977,Yes,No, Detached, 1-Storey,4,1,Yes
11,Sold 2023-01-01,"€218,285.00",Summerston,1914,???,No, Bungalow, 1-Storey,2,1,Yes
12,Sold 2023-01-01,"€883,039.00",Summerston,2019,Yes,Yes, Detached, 1-Storey,3,2,No
13,Sold 2023-01-01,"€ 233,185",Rivermount,1965,Yes,???, Terraced, 1-Storey,2,1,No
14,Sold 2023-01-01,"€376,060.00",Rivermount,1996,Yes,No, Duplex, 1.5-Storey,2,1,Yes
15,Sold 2023-01-01,"€515,621.00",Brookville,2019,Yes,Yes, Detached, 1-Storey,2,2,NO
16,Sold 2023-01-01,"€587,698.00",Brookville,2009,Yes,No, Det., 2-Storey,3,2,YES
17,Sold 2023-01-01,"€344,923.00",Oak Park,1966,Yes,No, Detached, 1-Storey,3,1,No
18,Sold 2023-01-01,"€218,947.00",Oak Park,1961,No,No, Duplex, 1-Storey,2,2,No
19,Sold 2023-01-01,"€437,957.00",Oak Park,1976,Yes,Yes, Detached, 1-Storey,3,1,NO
20,Sold 2023-02-19,"€528,142.00",Brookville,2017,Yes,No, Detached, 2-Storey,3,2,No
21,Sold 2023-02-19,"€455,666.00",Brookville,2017,Yes,No, Detached, 2-Storey,3,2,Yes
22,Sold 2023-02-19,"€387,949.00",Oak Park,1965,Yes,No, Detached, 1-Storey,2,1,No
23,Sold 2023-02-19,"€684,644.00",Porter Square,2017,Yes,Yes, Detached, 2-Storey,3,2,Yes
